#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 06 08 00 100  7.1 99.0 99.00 99.00 99.00 999 1021.0  23.3  23.7  18.5 99.0 99.00
2012 01 06 09 00  98  6.6 99.0 99.00 99.00 99.00 999 1021.0  23.2  23.6  18.4 99.0 99.00
2012 01 06 10 00  95  6.3 99.0 99.00 99.00 99.00 999 1021.0  23.2  23.6  18.6 99.0 99.00
2012 01 06 11 00  92  6.2 99.0 99.00 99.00 99.00 999 1021.0  23.2  23.6  18.8 99.0 99.00
2012 01 06 12 00 105  6.4 99.0 99.00 99.00 99.00 999 1020.0  23.2  23.6  18.6 99.0 99.00
2012 01 06 13 00 106  6.5 99.0 99.00 99.00 99.00 999 1020.0  23.3  23.6  18.1 99.0 99.00
2012 01 06 14 00 106  6.0 99.0 99.00 99.00 99.00 999 1020.0  23.4  23.6  17.7 99.0 99.00
2012 01 06 15 00  99  5.5 99.0 99.00 99.00 99.00 999 1020.0  23.5  23.7  17.1 99.0 99.00
2012 01 06 16 00  99  4.9 99.0 99.00 99.00 99.00 999 1020.0  23.4  23.7  17.6 99.0 99.00
2012 01 06 17 00  87  4.9 99.0 99.00 99.00 99.00 999 1021.0  23.3  23.7  18.3 99.0 99.00
2012 01 06 18 00  84  5.0 99.0 99.00 99.00 99.00 999 1021.0  23.4  23.7  18.6 99.0 99.00
2012 01 06 19 00  83  4.7 99.0 99.00 99.00 99.00 999 1021.0  23.4  23.7  18.7 99.0 99.00
2012 01 06 20 00  78  4.6 99.0 99.00 99.00 99.00 999 1022.0  23.3  23.7  18.7 99.0 99.00
2012 01 06 21 00  74  4.7 99.0 99.00 99.00 99.00 999 1021.0  23.2  23.8  19.1 99.0 99.00
2012 01 06 22 00  86  4.5 99.0 99.00 99.00 99.00 999 1020.0  23.1  23.8  19.1 99.0 99.00
2012 01 06 23 00 105  4.8 99.0 99.00 99.00 99.00 999 1019.0  23.1  23.9  18.9 99.0 99.00
2012 01 07 00 00 135  5.9 99.0 99.00 99.00 99.00 999 1019.0  21.8  23.8  19.2 99.0 99.00
2012 01 07 01 00 125  3.8 99.0 99.00 99.00 99.00 999 1018.0  21.8  23.8  18.7 99.0 99.00
2012 01 07 02 00 112  3.3 99.0 99.00 99.00 99.00 999 1018.0  22.4  23.8  18.5 99.0 99.00
2012 01 07 03 00 107  3.2 99.0 99.00 99.00 99.00 999 1018.0  22.7  23.7  18.9 99.0 99.00
2012 01 07 04 00 105  4.2 99.0 99.00 99.00 99.00 999 1019.0  22.7  23.7  19.2 99.0 99.00
